Fuc,Hex,HexNAc,N-core,Neu5Ac,ch_A,ch_B
0,0,4,2,0,G0,G0
0,1,4,2,0,G0,G1
0,1,4,2,0,G1,G0
0,2,2,2,0,Man5,G0
0,2,2,2,0,G0,Man5
0,2,4,2,0,G0,G2
0,2,4,2,0,G1,G1
0,2,4,2,0,G2,G0
0,3,2,2,0,Man5,G1
0,3,2,2,0,G1,Man5
0,3,4,2,0,G1,G2
0,3,4,2,0,G2,G1
0,4,0,2,0,Man5,Man5
0,4,2,2,0,Man5,G2
0,4,2,2,0,G2,Man5
0,4,4,2,0,G2,G2
1,0,4,2,0,G0,G0F
1,0,4,2,0,G0F,G0
1,1,4,2,0,G0,G1F
1,1,4,2,0,G1,G0F
1,1,4,2,0,G0F,G1
1,1,4,2,0,G1F,G0
1,2,2,2,0,Man5,G0F
1,2,2,2,0,G0F,Man5
1,2,4,2,0,G0,G2F
1,2,4,2,0,G1,G1F
1,2,4,2,0,G2,G0F
1,2,4,2,0,G0F,G2
1,2,4,2,0,G1F,G1
1,2,4,2,0,G2F,G0
1,2,4,2,1,G0,G2FSA1
1,2,4,2,1,G2FSA1,G0
1,2,4,2,2,G0,G2FSA2
1,2,4,2,2,G2FSA2,G0
1,3,2,2,0,Man5,G1F
1,3,2,2,0,G1F,Man5
1,3,4,2,0,G1,G2F
1,3,4,2,0,G2,G1F
1,3,4,2,0,G1F,G2
1,3,4,2,0,G2F,G1
1,3,4,2,1,G1,G2FSA1
1,3,4,2,1,G2FSA1,G1
1,3,4,2,2,G1,G2FSA2
1,3,4,2,2,G2FSA2,G1
1,4,2,2,0,Man5,G2F
1,4,2,2,0,G2F,Man5
1,4,2,2,1,Man5,G2FSA1
1,4,2,2,1,G2FSA1,Man5
1,4,2,2,2,Man5,G2FSA2
1,4,2,2,2,G2FSA2,Man5
1,4,4,2,0,G2,G2F
1,4,4,2,0,G2F,G2
1,4,4,2,1,G2,G2FSA1
1,4,4,2,1,G2FSA1,G2
1,4,4,2,2,G2,G2FSA2
1,4,4,2,2,G2FSA2,G2
2,0,4,2,0,G0F,G0F
2,1,4,2,0,G0F,G1F
2,1,4,2,0,G1F,G0F
2,2,4,2,0,G0F,G2F
2,2,4,2,0,G1F,G1F
2,2,4,2,0,G2F,G0F
2,2,4,2,1,G0F,G2FSA1
2,2,4,2,1,G2FSA1,G0F
2,2,4,2,2,G0F,G2FSA2
2,2,4,2,2,G2FSA2,G0F
2,3,4,2,0,G1F,G2F
2,3,4,2,0,G2F,G1F
2,3,4,2,1,G1F,G2FSA1
2,3,4,2,1,G2FSA1,G1F
2,3,4,2,2,G1F,G2FSA2
2,3,4,2,2,G2FSA2,G1F
2,4,4,2,0,G2F,G2F
2,4,4,2,1,G2F,G2FSA1
2,4,4,2,1,G2FSA1,G2F
2,4,4,2,2,G2F,G2FSA2
2,4,4,2,2,G2FSA1,G2FSA1
2,4,4,2,2,G2FSA2,G2F
2,4,4,2,3,G2FSA1,G2FSA2
2,4,4,2,3,G2FSA2,G2FSA1
2,4,4,2,4,G2FSA2,G2FSA2
